Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Roos van der Wielen,1,3525,Almere 2025-09-13 - Place: 1 Points: 1368.5,Utrecht 2025-07-20 - Place: 1 Points: 1330.0,NK 2024-06-29 - Place: 2 Points: 826.56
Mady Smit,2,3525,Almere 2025-09-13 - Place: 1 Points: 1368.5,Utrecht 2025-07-20 - Place: 1 Points: 1330.0,NK 2024-06-29 - Place: 2 Points: 826.56
Sanne Schra,3,2897,Amsterdam 2025-06-14 - Place: 2 Points: 1008.0,Almere 2025-09-13 - Place: 4 Points: 957.95,Utrecht 2025-07-20 - Place: 4 Points: 931.0
Roos van der Donk,4,2894,Almere 2025-09-13 - Place: 3 Points: 1094.8,Utrecht 2025-07-20 - Place: 3 Points: 1064.0,NK 2024-06-29 - Place: 3 Points: 734.72
Agnes Berveling,5,2785,Almere 2025-09-13 - Place: 4 Points: 957.95,Utrecht 2025-07-20 - Place: 4 Points: 931.0,Amsterdam 2025-06-14 - Place: 3 Points: 896.0
Lauri Schippers,6,2766,Amsterdam 2025-06-14 - Place: 1 Points: 1120.0,Almere 2025-09-13 - Place: 3 Points: 1094.8,NK 2024-06-29 - Place: 5 Points: 551.04
Jannah Sonnenschein,7,2469,Amsterdam 2025-06-14 - Place: 1 Points: 1120.0,Utrecht 2025-07-20 - Place: 5 Points: 798.0,NK 2024-06-29 - Place: 5 Points: 551.04
Solange schrijnder van Velzen,8,2296,Almere 2025-09-13 - Place: 2 Points: 1231.65,Utrecht 2025-07-20 - Place: 3 Points: 1064.0,
Lise Pieper,9,2270,Almere 2025-09-13 - Place: 5 Points: 821.1,Amsterdam 2025-06-14 - Place: 4 Points: 784.0,Utrecht 2025-07-20 - Place: 7 Points: 665.0
Marta devesa Cabrera,10,2270,Almere 2025-09-13 - Place: 5 Points: 821.1,Amsterdam 2025-06-14 - Place: 4 Points: 784.0,Utrecht 2025-07-20 - Place: 7 Points: 665.0
Shauny Dieltjes,11,2115,Utrecht 2025-07-20 - Place: 2 Points: 1197.0,NK 2024-06-29 - Place: 1 Points: 918.4,
Pippa Schippers,12,2044,Almere 2025-09-13 - Place: 6 Points: 821.1,Amsterdam 2025-06-14 - Place: 5 Points: 672.0,NK 2024-06-29 - Place: 6 Points: 551.04
Jesse Weggemans,13,1493,Almere 2025-09-13 - Place: 6 Points: 821.1,Amsterdam 2025-06-14 - Place: 5 Points: 672.0,
Sophie Bouma,14,1477,Utrecht 2025-07-20 - Place: 2 Points: 1197.0,NK 2023-09-02 - Place: 1 Points: 280.0,
Suzanne Slob,15,1441,Utrecht 2025-07-20 - Place: 6 Points: 798.0,NK 2024-06-29 - Place: 4 Points: 642.88,
Jessica Borgers,16,1400,Almere 2025-09-13 - Place: 2 Points: 1231.65,NK 2023-09-02 - Place: 5 Points: 168.0,
