Tournament Name,Date,Players,Player multiplier,Age multiplier,Multiplier
NK,2023-09-02,38,1.0,0.4,0.4
Enschede,2023-11-26,18,1.06,0.6,0.64
Amsterdam,2024-06-01,48,1.68,0.8,1.34
NK,2024-06-29,40,1.46,0.8,1.16
GroningenIndoor,2025-01-19,8,1.03,1.0,1.03
AmsterdamIndoor,2025-02-23,16,1.23,1.0,1.23
UtrechtIndoor,2025-03-15,14,1.13,1.0,1.13
Groningen,2025-05-03,18,1.0,1.0,1.0
Enschede,2025-06-01,22,1.33,1.0,1.33
Amsterdam,2025-06-14,8,1.0,1.0,1.0
Almere,2025-09-13,42,1.3,1.0,1.3
