Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Gabriele Brazzo,30,1884,Amsterdam 2025-06-14 - Place: 2 Points: 982.8,NK 2024-06-29 - Place: 11 Points: 507.36,Utrecht 2025-07-20 - Place: 14 Points: 393.75
Joep Blanksma,31,1882,NK 2024-06-29 - Place: 4 Points: 887.88,Enschede 2024-04-06 - Place: 6 Points: 695.52,NK 2023-09-02 - Place: 7 Points: 298.9
Omar el Tambouli,32,1830,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,Utrecht 2025-07-20 - Place: 8 Points: 656.25,Enschede 2024-04-06 - Place: 13 Points: 347.76
Daniel Peereboom,33,1768,Groningen 2024-05-04 - Place: 6 Points: 626.64,Almere 2025-09-13 - Place: 9 Points: 575.4,GroningenIndoor 2025-01-19 - Place: 4 Points: 565.95
Koen Franken,34,1747,GroningenIndoor 2025-01-19 - Place: 3 Points: 646.8,Almere 2025-09-13 - Place: 10 Points: 575.4,Utrecht 2025-07-20 - Place: 11 Points: 525.0
Maikel Schils,35,1679,UtrechtIndoor 2025-03-15 - Place: 4 Points: 578.2,Almere 2025-09-13 - Place: 10 Points: 575.4,Utrecht 2025-07-20 - Place: 11 Points: 525.0
Yuan Tjiam,36,1662,Amsterdam 2024-06-01 - Place: 6 Points: 630.0,Utrecht 2025-07-20 - Place: 12 Points: 525.0,NK 2024-06-29 - Place: 10 Points: 507.36
Niels de Jonge,37,1656,Groningen 2024-05-04 - Place: 6 Points: 626.64,GroningenIndoor 2025-01-19 - Place: 4 Points: 565.95,Enschede 2024-04-06 - Place: 10 Points: 463.68
Lars Bouma,38,1644,Almere 2025-09-13 - Place: 9 Points: 575.4,Amsterdam 2025-06-14 - Place: 7 Points: 546.0,Groningen 2024-05-04 - Place: 8 Points: 522.2
Niels Kadijk,39,1630,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8,Almere 2025-09-13 - Place: 12 Points: 575.4,Utrecht 2025-07-20 - Place: 15 Points: 393.75
Jari Verbeek,40,1629,Amsterdam 2024-06-01 - Place: 3 Points: 840.0,NK 2024-06-29 - Place: 11 Points: 507.36,Amsterdam 2023-06-17 - Place: 12 Points: 281.68
Nicolas Manneback,41,1608,Almere 2025-09-13 - Place: 11 Points: 575.4,Utrecht 2025-07-20 - Place: 12 Points: 525.0,NK 2024-06-29 - Place: 10 Points: 507.36
Patrick de Lange,42,1546,Utrecht 2025-07-20 - Place: 7 Points: 656.25,NK 2023-09-02 - Place: 3 Points: 478.24,Groningen 2023-05-27 - Place: 1 Points: 411.6
Steffen Gastineau,43,1544,EnschedeIndoor 2024-11-30 - Place: 6 Points: 619.5,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 487.2,Amsterdam 2025-06-14 - Place: 12 Points: 436.8
Lauri Schippers,44,1525,Groningen 2025-05-03 - Place: 5 Points: 543.9,UtrechtIndoor 2025-03-15 - Place: 5 Points: 495.6,GroningenIndoor 2025-01-19 - Place: 5 Points: 485.1
Jacob Franssen,45,1484,Almere 2025-09-13 - Place: 12 Points: 575.4,UtrechtIndoor 2025-03-15 - Place: 6 Points: 495.6,EnschedeIndoor 2024-11-30 - Place: 11 Points: 413.0
Carel van Goch,46,1478,GroningenIndoor 2025-01-19 - Place: 3 Points: 646.8,Groningen 2024-05-04 - Place: 11 Points: 417.76,UtrechtIndoor 2025-03-15 - Place: 7 Points: 413.0
Mark de Jong,47,1475,NK 2023-09-02 - Place: 1 Points: 597.8,Amsterdam 2024-06-01 - Place: 7 Points: 525.0,Amsterdam 2023-06-17 - Place: 7 Points: 352.1
Jan Schmitz,48,1436,Groningen 2025-05-03 - Place: 5 Points: 543.9,Utrecht 2025-07-20 - Place: 10 Points: 525.0,Enschede 2025-06-01 - Place: 16 Points: 367.5
Roos van der Donk,49,1433,EnschedeIndoor 2024-11-30 - Place: 7 Points: 516.25,Enschede 2024-04-06 - Place: 11 Points: 463.68,Groningen 2025-05-03 - Place: 7 Points: 453.25
Eline Meijer,50,1420,NK 2024-06-29 - Place: 7 Points: 634.2,Enschede 2024-04-06 - Place: 8 Points: 579.6,Groningen 2023-05-27 - Place: 8 Points: 205.8
Agnes Berveling,51,1353,AmsterdamIndoor 2025-02-23 - Place: 6 Points: 487.2,Groningen 2025-05-03 - Place: 8 Points: 453.25,EnschedeIndoor 2024-11-30 - Place: 10 Points: 413.0
Jonas Klimt,52,1347,Utrecht 2025-07-20 - Place: 10 Points: 525.0,NK 2024-06-29 - Place: 9 Points: 507.36,Amsterdam 2024-06-01 - Place: 14 Points: 315.0
Jannah Sonnenschein,53,1313,EnschedeIndoor 2024-11-30 - Place: 6 Points: 619.5,GroningenIndoor 2025-01-19 - Place: 5 Points: 485.1,Groningen 2024-05-04 - Place: 19 Points: 208.88
Stan van der Enden,54,1302,Amsterdam 2025-06-14 - Place: 7 Points: 546.0,Utrecht 2025-07-20 - Place: 13 Points: 393.75,Groningen 2025-05-03 - Place: 9 Points: 362.6
Roos van der Wielen,55,1302,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 812.0,Enschede 2025-06-01 - Place: 12 Points: 490.0,
Erik borja forschner Mitre,56,1295,Almere 2025-09-13 - Place: 2 Points: 1294.65,,
Irian Baert,57,1278,Enschede 2025-06-01 - Place: 4 Points: 857.5,Amsterdam 2024-06-01 - Place: 12 Points: 420.0,
Toan Pauwels,58,1278,Enschede 2025-06-01 - Place: 4 Points: 857.5,Amsterdam 2024-06-01 - Place: 12 Points: 420.0,
Sophie Bouma,59,1264,NK 2024-06-29 - Place: 7 Points: 634.2,Groningen 2024-02-11 - Place: 10 Points: 316.68,Groningen 2024-05-04 - Place: 13 Points: 313.32
Lars Jürgensen,60,1244,Amsterdam 2025-06-14 - Place: 11 Points: 436.8,UtrechtIndoor 2025-03-15 - Place: 8 Points: 413.0,Utrecht 2025-07-20 - Place: 14 Points: 393.75
Justus Klapperich,61,1225,Enschede 2025-06-01 - Place: 1 Points: 1225.0,,
Scott Beeks,62,1225,Enschede 2025-06-01 - Place: 1 Points: 1225.0,,
Basile Vitrai,63,1210,Amsterdam 2024-06-01 - Place: 5 Points: 630.0,Enschede 2024-04-06 - Place: 8 Points: 579.6,
Cameron Ohlson,64,1174,Groningen 2025-05-03 - Place: 6 Points: 543.9,Groningen 2024-02-11 - Place: 8 Points: 395.85,Amsterdam 2024-01-20 - Place: 13 Points: 234.36
Ewout van den Pol,65,1142,Enschede 2024-04-06 - Place: 12 Points: 463.68,Enschede 2023-11-26 - Place: 7 Points: 379.05,NK 2023-09-02 - Place: 7 Points: 298.9
Klara Schöttgen,66,1140,AmsterdamIndoor 2025-02-23 - Place: 3 Points: 649.6,Enschede 2025-06-01 - Place: 12 Points: 490.0,
Adriaan van Gerven,67,1081,Enschede 2025-06-01 - Place: 8 Points: 612.5,Amsterdam 2024-01-20 - Place: 5 Points: 468.72,
Ludwig Branzk,68,1061,NK 2024-06-29 - Place: 9 Points: 507.36,Amsterdam 2024-06-01 - Place: 14 Points: 315.0,NK 2023-09-02 - Place: 11 Points: 239.12
Louis Mareschal,69,1050,Amsterdam 2024-06-01 - Place: 1 Points: 1050.0,,
Koen Huits,70,1048,Groningen 2024-05-04 - Place: 12 Points: 417.76,Groningen 2024-02-11 - Place: 8 Points: 395.85,Amsterdam 2024-01-20 - Place: 13 Points: 234.36
Maurice Jantjes,71,1018,Amsterdam 2023-06-17 - Place: 3 Points: 563.36,Groningen 2023-05-27 - Place: 2 Points: 370.44,Enschede 2023-04-22 - Place: 14 Points: 84.0
Adnan Jerbi,72,1014,Groningen 2024-02-11 - Place: 3 Points: 633.36,NK 2024-06-29 - Place: 14 Points: 380.52,
Cedric Omtzigt,73,1012,Enschede 2024-04-06 - Place: 12 Points: 463.68,Enschede 2023-11-26 - Place: 12 Points: 303.24,Enschede 2025-06-01 - Place: 17 Points: 245.0
Linde van Wambeke,74,995,Groningen 2024-05-04 - Place: 7 Points: 522.2,Groningen 2024-02-11 - Place: 9 Points: 316.68,Amsterdam 2024-01-20 - Place: 24 Points: 156.24
Shauny Dieltjes,75,985,Enschede 2025-06-01 - Place: 11 Points: 490.0,Groningen 2025-05-03 - Place: 7 Points: 453.25,Enschede 2023-04-22 - Place: 27 Points: 42.0
Alberto Tiribello,76,983,Amsterdam 2025-06-14 - Place: 2 Points: 982.8,,
Gauthier Vandamme,77,945,Amsterdam 2024-06-01 - Place: 2 Points: 945.0,,
Gilles Hublet,78,945,Amsterdam 2024-06-01 - Place: 2 Points: 945.0,,
Rouven Felix,79,919,Utrecht 2025-07-20 - Place: 4 Points: 918.75,,
Fadri Campell,80,919,Utrecht 2025-07-20 - Place: 4 Points: 918.75,,
Maarten van Beek,81,914,NK 2024-06-29 - Place: 14 Points: 380.52,NK 2023-09-02 - Place: 8 Points: 298.9,Amsterdam 2024-01-20 - Place: 15 Points: 234.36
Frank Buigel,82,861,Groningen 2024-05-04 - Place: 12 Points: 417.76,Groningen 2024-02-11 - Place: 16 Points: 237.51,Groningen 2023-05-27 - Place: 7 Points: 205.8
Olivier hui bon Hoa,83,840,Amsterdam 2024-06-01 - Place: 3 Points: 840.0,,
Baptiste Maison,84,813,Amsterdam 2023-06-17 - Place: 5 Points: 422.52,Amsterdam 2024-01-20 - Place: 7 Points: 390.6,
Hugues Maison,85,813,Amsterdam 2023-06-17 - Place: 5 Points: 422.52,Amsterdam 2024-01-20 - Place: 7 Points: 390.6,
Ilonka Thielen,86,796,Groningen 2024-05-04 - Place: 10 Points: 417.76,Groningen 2024-02-11 - Place: 13 Points: 237.51,Amsterdam 2023-06-17 - Place: 20 Points: 140.84
Pim Jansen,87,776,EnschedeIndoor 2024-11-30 - Place: 12 Points: 413.0,Groningen 2025-05-03 - Place: 10 Points: 362.6,
Sanne Schra,88,753,Groningen 2025-05-03 - Place: 6 Points: 543.9,Groningen 2024-05-04 - Place: 17 Points: 208.88,
Tom Ottenheim,89,741,UtrechtIndoor 2025-03-15 - Place: 6 Points: 495.6,Enschede 2025-06-01 - Place: 18 Points: 245.0,
Benjamin Gottwald,90,735,Enschede 2025-06-01 - Place: 5 Points: 735.0,,
Thomas Ungerer,91,735,Enschede 2025-06-01 - Place: 5 Points: 735.0,,
Thomas Beck,92,735,Enschede 2025-06-01 - Place: 6 Points: 735.0,,
Joeri Vlassaks,93,703,Amsterdam 2024-01-20 - Place: 2 Points: 703.08,,
Martijn Paes,94,703,Amsterdam 2024-01-20 - Place: 2 Points: 703.08,,
Lavinia Damaschin,95,681,Groningen 2024-05-04 - Place: 8 Points: 522.2,Groningen 2024-02-11 - Place: 19 Points: 158.34,
Jessica Borgers,96,657,Amsterdam 2024-01-20 - Place: 6 Points: 468.72,Amsterdam 2023-06-17 - Place: 28 Points: 105.63,Groningen 2023-05-27 - Place: 19 Points: 82.32
Jeremy Roth,97,655,Amsterdam 2025-06-14 - Place: 5 Points: 655.2,,
Tanja Henrich,98,655,Amsterdam 2025-06-14 - Place: 5 Points: 655.2,,
Emil Wirsing,99,650,AmsterdamIndoor 2025-02-23 - Place: 3 Points: 649.6,,
Oriol Gonzalez,100,634,Amsterdam 2023-06-17 - Place: 2 Points: 633.78,,
Tavo Garcia,101,634,Amsterdam 2023-06-17 - Place: 2 Points: 633.78,,
Ulysse Couturier,102,630,Amsterdam 2024-06-01 - Place: 5 Points: 630.0,,
Beau Dysserinck,103,613,Enschede 2025-06-01 - Place: 8 Points: 612.5,,
Stijn Bakker,104,596,Amsterdam 2024-06-01 - Place: 9 Points: 420.0,NK 2023-09-02 - Place: 18 Points: 119.56,Enschede 2023-04-22 - Place: 23 Points: 56.0
Remco Klaasman,105,585,AmsterdamIndoor 2025-02-23 - Place: 8 Points: 406.0,NK 2023-09-02 - Place: 16 Points: 179.34,
Yorik Maatman,106,581,Groningen 2024-02-11 - Place: 10 Points: 316.68,Amsterdam 2023-06-17 - Place: 17 Points: 140.84,Groningen 2023-05-27 - Place: 13 Points: 123.48
Wouter van Tongeren,107,578,UtrechtIndoor 2025-03-15 - Place: 4 Points: 578.2,,
Konradin Müskens,108,574,Enschede 2024-04-06 - Place: 15 Points: 347.76,Amsterdam 2024-01-20 - Place: 18 Points: 156.24,Amsterdam 2023-06-17 - Place: 37 Points: 70.42
Jorge Donayre,109,563,Amsterdam 2023-06-17 - Place: 3 Points: 563.36,,
Thomas Turner,110,547,Amsterdam 2024-01-20 - Place: 4 Points: 546.84,,
Jonas Adriaenssens,111,547,Amsterdam 2024-01-20 - Place: 4 Points: 546.84,,
Yannick Onstenk,112,541,Groningen 2024-05-04 - Place: 10 Points: 417.76,Groningen 2023-05-27 - Place: 14 Points: 123.48,
Luuk Schotsman,113,530,Almere 2025-09-13 - Place: 13 Points: 431.55,Amsterdam 2023-06-17 - Place: 39 Points: 70.42,Enschede 2023-04-22 - Place: 35 Points: 28.0
Noah Mensch,114,525,Amsterdam 2024-06-01 - Place: 8 Points: 525.0,,
Hauke Moeschke,115,522,Groningen 2024-05-04 - Place: 7 Points: 522.2,,
Solange schrijnder van Velzen,116,521,Amsterdam 2025-06-14 - Place: 10 Points: 436.8,Enschede 2023-04-22 - Place: 16 Points: 84.0,
Albert Gracia,117,516,EnschedeIndoor 2024-11-30 - Place: 8 Points: 516.25,,
Tim van Caubergh,118,511,Groningen 2023-05-27 - Place: 2 Points: 370.44,Amsterdam 2023-06-17 - Place: 21 Points: 140.84,
Jannes de Meyer,119,493,Amsterdam 2023-06-17 - Place: 4 Points: 492.94,,
Tuur Demaegdt,120,493,Amsterdam 2023-06-17 - Place: 4 Points: 492.94,,
Pieter van der Plas,121,493,NK 2024-06-29 - Place: 18 Points: 253.68,NK 2023-09-02 - Place: 9 Points: 239.12,
Bart Haddink,122,481,Groningen 2024-02-11 - Place: 11 Points: 316.68,Groningen 2023-05-27 - Place: 10 Points: 164.64,
Oscar Stolk,123,472,Groningen 2024-02-11 - Place: 14 Points: 237.51,Amsterdam 2024-01-20 - Place: 14 Points: 234.36,
Dante Vanderveken,124,469,Amsterdam 2024-01-20 - Place: 5 Points: 468.72,,
Adam Drong,125,454,Enschede 2025-06-01 - Place: 19 Points: 245.0,Groningen 2024-05-04 - Place: 18 Points: 208.88,
Annabel Beiner,126,447,Groningen 2024-05-04 - Place: 19 Points: 208.88,Amsterdam 2024-01-20 - Place: 24 Points: 156.24,Groningen 2023-05-27 - Place: 20 Points: 82.32
Benedikt Meylahn,127,437,Amsterdam 2025-06-14 - Place: 11 Points: 436.8,,
Knut Satrang,128,437,Amsterdam 2025-06-14 - Place: 12 Points: 436.8,,
Tom Caniels,129,418,Enschede 2024-04-06 - Place: 15 Points: 347.76,Amsterdam 2023-06-17 - Place: 37 Points: 70.42,
Suzanne Slob,130,413,EnschedeIndoor 2024-11-30 - Place: 9 Points: 413.0,,
Jasper Zeevaarder,131,413,EnschedeIndoor 2024-11-30 - Place: 11 Points: 413.0,,
Roel van Gerner,132,413,EnschedeIndoor 2024-11-30 - Place: 12 Points: 413.0,,
Burag Hançer,133,413,UtrechtIndoor 2025-03-15 - Place: 8 Points: 413.0,,
Han Holtmann,134,406,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 406.0,,
Patrick Costa,135,406,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 406.0,,
Milan Klaasman,136,406,AmsterdamIndoor 2025-02-23 - Place: 8 Points: 406.0,,
Quinten van Duin,137,394,Groningen 2024-02-11 - Place: 15 Points: 237.51,Amsterdam 2024-01-20 - Place: 19 Points: 156.24,
Niels van Weerdenburg,138,394,Groningen 2024-02-11 - Place: 15 Points: 237.51,Amsterdam 2024-01-20 - Place: 22 Points: 156.24,
Britt Vankemenade,139,391,Amsterdam 2024-01-20 - Place: 8 Points: 390.6,,
Marie-alexia Teisseyre,140,391,Amsterdam 2024-01-20 - Place: 8 Points: 390.6,,
Bas Cornelissen,141,381,NK 2024-06-29 - Place: 13 Points: 380.52,,
Daan Beelen,142,381,NK 2024-06-29 - Place: 13 Points: 380.52,,
Ben ten Berge,143,380,NK 2023-09-02 - Place: 9 Points: 239.12,Amsterdam 2023-06-17 - Place: 24 Points: 140.84,
Maximilian Kamphoff,144,368,Enschede 2025-06-01 - Place: 13 Points: 367.5,,
Marcel Michael,145,368,Enschede 2025-06-01 - Place: 13 Points: 367.5,,
Patrick Friebe,146,368,Enschede 2025-06-01 - Place: 16 Points: 367.5,,
Matthijs G,147,367,Groningen 2024-05-04 - Place: 17 Points: 208.88,Groningen 2024-02-11 - Place: 18 Points: 158.34,
Tessel van Manen,148,366,Amsterdam 2024-06-01 - Place: 18 Points: 210.0,Amsterdam 2024-01-20 - Place: 20 Points: 156.24,
Shannon Dieltjes,149,355,Groningen 2024-05-04 - Place: 14 Points: 313.32,Enschede 2023-04-22 - Place: 27 Points: 42.0,
Tabriz Popatia,150,352,Amsterdam 2023-06-17 - Place: 8 Points: 352.1,,
Paul Volle,151,352,Amsterdam 2023-06-17 - Place: 8 Points: 352.1,,
Daniel Horn,152,320,NK 2023-09-02 - Place: 13 Points: 179.34,Amsterdam 2023-06-17 - Place: 18 Points: 140.84,
Adéla Janků,153,317,Groningen 2024-02-11 - Place: 12 Points: 316.68,,
Mathias Gerstner,154,315,Amsterdam 2024-06-01 - Place: 13 Points: 315.0,,
Franka tabitha Etzel,155,313,Groningen 2024-05-04 - Place: 15 Points: 313.32,,
Lorenz Theobold,156,313,Groningen 2024-05-04 - Place: 15 Points: 313.32,,
Dennis Erlenbusch,157,303,Enschede 2023-11-26 - Place: 9 Points: 303.24,,
Anna We,158,303,Enschede 2023-11-26 - Place: 9 Points: 303.24,,
Lorenzo Palm,159,303,Enschede 2023-11-26 - Place: 10 Points: 303.24,,
Ben Frischen,160,303,Enschede 2023-11-26 - Place: 10 Points: 303.24,,
Johannes Lang,161,288,Groningen 2023-05-27 - Place: 4 Points: 288.12,,
Lukas Donovan,162,280,Enschede 2023-04-22 - Place: 1 Points: 280.0,,
Birk Warnecke,163,280,Enschede 2023-04-22 - Place: 1 Points: 280.0,,
Rowan Westerduin,164,254,NK 2024-06-29 - Place: 17 Points: 253.68,,
Niels van Oostrum,165,254,NK 2024-06-29 - Place: 17 Points: 253.68,,
Bas Rudolphy,166,254,NK 2024-06-29 - Place: 18 Points: 253.68,,
Liam van Hees,167,254,NK 2024-06-29 - Place: 19 Points: 253.68,,
Stef Boot,168,254,NK 2024-06-29 - Place: 19 Points: 253.68,,
Tom Gobee,169,254,NK 2024-06-29 - Place: 20 Points: 253.68,,
Thomas van Echtelt,170,254,NK 2024-06-29 - Place: 20 Points: 253.68,,
Gijs Kamperman,171,245,Enschede 2025-06-01 - Place: 19 Points: 245.0,,
Martin Sievert,172,239,NK 2023-09-02 - Place: 11 Points: 239.12,,
Florian Verduijn,173,238,Groningen 2024-02-11 - Place: 14 Points: 237.51,,
Aart jan Lenstra,174,238,Groningen 2024-02-11 - Place: 16 Points: 237.51,,
Twan Schoonen,175,234,Amsterdam 2024-01-20 - Place: 14 Points: 234.36,,
Casper Zomerdijk,176,234,Amsterdam 2024-01-20 - Place: 15 Points: 234.36,,
Teo Constantinescu,177,232,Enschede 2024-04-06 - Place: 17 Points: 231.84,,
Miguel Dionisio,178,232,Enschede 2024-04-06 - Place: 17 Points: 231.84,,
David Geld,179,224,Enschede 2023-04-22 - Place: 3 Points: 224.0,,
Louis Blum,180,224,Enschede 2023-04-22 - Place: 3 Points: 224.0,,
Ruben Soerel,181,211,Amsterdam 2023-06-17 - Place: 13 Points: 211.26,,
Tomas Juch,182,211,Amsterdam 2023-06-17 - Place: 13 Points: 211.26,,
Jim Buhler,183,211,Amsterdam 2023-06-17 - Place: 14 Points: 211.26,,
Gadiel Rachelson,184,211,Amsterdam 2023-06-17 - Place: 14 Points: 211.26,,
Anicea Saliba,185,210,Amsterdam 2024-06-01 - Place: 17 Points: 210.0,,
Guillaume Paris,186,209,Groningen 2024-05-04 - Place: 18 Points: 208.88,,
Vishesh Sawhney,187,188,Amsterdam 2024-01-20 - Place: 25 Points: 117.18,Amsterdam 2023-06-17 - Place: 34 Points: 70.42,
Konstantin Dimov,188,169,Amsterdam 2023-06-17 - Place: 23 Points: 140.84,Enschede 2023-04-22 - Place: 33 Points: 28.0,
Kolja Jannes,189,168,Enschede 2023-04-22 - Place: 5 Points: 168.0,,
Lennart Wiepking,190,168,Enschede 2023-04-22 - Place: 5 Points: 168.0,,
David Moulin,191,165,Groningen 2023-05-27 - Place: 12 Points: 164.64,,
Milan Battistella,192,162,Amsterdam 2023-06-17 - Place: 30 Points: 105.63,Enschede 2023-04-22 - Place: 20 Points: 56.0,
Franka Etzel,193,158,Groningen 2024-02-11 - Place: 17 Points: 158.34,,
Lorenz Theobald,194,158,Groningen 2024-02-11 - Place: 17 Points: 158.34,,
Bauke van der Kooij,195,158,Groningen 2024-02-11 - Place: 18 Points: 158.34,,
Marian Haydn,196,158,Groningen 2024-02-11 - Place: 19 Points: 158.34,,
Lieze Dockx,197,156,Amsterdam 2024-01-20 - Place: 17 Points: 156.24,,
Pieter-jan Zwaan,198,156,Amsterdam 2024-01-20 - Place: 17 Points: 156.24,,
Gijs van Gerwen,199,156,Amsterdam 2024-01-20 - Place: 18 Points: 156.24,,
Singrid feitosa Alexandrino,200,156,Amsterdam 2024-01-20 - Place: 19 Points: 156.24,,
Remy Rousselle,201,156,Amsterdam 2024-01-20 - Place: 21 Points: 156.24,,
Antoine Sapena,202,156,Amsterdam 2024-01-20 - Place: 21 Points: 156.24,,
Rianne Voerman,203,156,Amsterdam 2024-01-20 - Place: 22 Points: 156.24,,
Steven Biemans,204,156,Amsterdam 2024-01-20 - Place: 23 Points: 156.24,,
Jesse M,205,141,Amsterdam 2023-06-17 - Place: 21 Points: 140.84,,
Mathijs de Groot,206,141,Amsterdam 2023-06-17 - Place: 24 Points: 140.84,,
Mika Mundo,207,140,Enschede 2023-04-22 - Place: 7 Points: 140.0,,
Thomas Roine,208,140,Enschede 2023-04-22 - Place: 7 Points: 140.0,,
Jan Derksen,209,124,Groningen 2023-05-27 - Place: 18 Points: 82.32,Enschede 2023-04-22 - Place: 30 Points: 42.0,
