Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Aleksandrs Juška,1,3866,Almere 2025-09-13 - Place: 1 Points: 1438.5,NK 2024-06-29 - Place: 1 Points: 1268.4,Enschede 2024-04-06 - Place: 1 Points: 1159.2
Lauma Ernestsone,2,3809,Almere 2025-09-13 - Place: 1 Points: 1438.5,NK 2024-06-29 - Place: 1 Points: 1268.4,Enschede 2025-06-01 - Place: 2 Points: 1102.5
Jeroen Brus,3,3474,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,Almere 2025-09-13 - Place: 3 Points: 1150.8,NK 2024-06-29 - Place: 2 Points: 1141.56
Rudo Brus,4,3474,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,Almere 2025-09-13 - Place: 3 Points: 1150.8,NK 2024-06-29 - Place: 2 Points: 1141.56
Tomer Kedar,5,3447,Almere 2025-09-13 - Place: 2 Points: 1294.65,Enschede 2025-06-01 - Place: 2 Points: 1102.5,Utrecht 2025-07-20 - Place: 3 Points: 1050.0
Jarec Schouten,6,3301,Enschede 2024-04-06 - Place: 1 Points: 1159.2,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0,Utrecht 2025-07-20 - Place: 3 Points: 1050.0
Stan van Manen,7,3066,Groningen 2024-05-04 - Place: 1 Points: 1044.4,NK 2024-06-29 - Place: 3 Points: 1014.72,Almere 2025-09-13 - Place: 4 Points: 1006.95
Thibault Mareschal,8,2713,Amsterdam 2024-06-01 - Place: 1 Points: 1050.0,Almere 2025-09-13 - Place: 4 Points: 1006.95,Utrecht 2025-07-20 - Place: 7 Points: 656.25
Teo Kukuljan,9,2524,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 1043.28,Enschede 2023-04-22 - Place: 6 Points: 168.0
Simon Spengler,10,2501,Groningen 2024-05-04 - Place: 1 Points: 1044.4,NK 2024-06-29 - Place: 5 Points: 761.04,Enschede 2024-04-06 - Place: 6 Points: 695.52
Tim Teunis,11,2445,NK 2024-06-29 - Place: 4 Points: 887.88,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,Groningen 2024-05-04 - Place: 4 Points: 731.08
Ward Nieboer,12,2434,Groningen 2024-05-04 - Place: 3 Points: 835.52,Enschede 2024-04-06 - Place: 4 Points: 811.44,Utrecht 2025-07-20 - Place: 5 Points: 787.5
Sam Beard,13,2430,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8
Simen Bootsma,14,2422,Almere 2025-09-13 - Place: 5 Points: 863.1,Groningen 2025-05-03 - Place: 2 Points: 815.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4
Dirk van de Riet,15,2414,Groningen 2024-05-04 - Place: 2 Points: 939.96,NK 2024-06-29 - Place: 5 Points: 761.04,Groningen 2024-02-11 - Place: 2 Points: 712.53
Fabian van Hummel,16,2413,Groningen 2025-05-03 - Place: 1 Points: 906.5,Utrecht 2025-07-20 - Place: 5 Points: 787.5,Almere 2025-09-13 - Place: 8 Points: 719.25
Luc Young,17,2368,Groningen 2025-05-03 - Place: 2 Points: 815.85,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4
Luca Marrer,18,2356,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 1043.28,
Sander Breman,19,2353,Almere 2025-09-13 - Place: 6 Points: 863.1,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2
David Teel,20,2353,Almere 2025-09-13 - Place: 6 Points: 863.1,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2
Tjebbe Treub,21,2341,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,Utrecht 2025-07-20 - Place: 6 Points: 787.5,GroningenIndoor 2025-01-19 - Place: 2 Points: 727.65
Bart Derks,22,2332,Almere 2025-09-13 - Place: 5 Points: 863.1,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8
Florian Engelsing,23,2327,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8,EnschedeIndoor 2024-11-30 - Place: 4 Points: 722.75
Micha Daling,24,2277,Groningen 2024-05-04 - Place: 2 Points: 939.96,Groningen 2024-02-11 - Place: 2 Points: 712.53,Amsterdam 2024-01-20 - Place: 3 Points: 624.96
Rens Elbertsen,25,2123,NK 2024-06-29 - Place: 6 Points: 761.04,Amsterdam 2024-06-01 - Place: 4 Points: 735.0,Groningen 2024-05-04 - Place: 5 Points: 626.64
Jasper Toebes,26,2089,Groningen 2025-05-03 - Place: 1 Points: 906.5,Almere 2025-09-13 - Place: 8 Points: 719.25,Enschede 2024-04-06 - Place: 11 Points: 463.68
Stijn Slebos,27,2082,Groningen 2024-05-04 - Place: 4 Points: 731.08,Enschede 2024-04-06 - Place: 5 Points: 695.52,Amsterdam 2025-06-14 - Place: 6 Points: 655.2
Ravi Kandula,28,1984,Amsterdam 2023-06-17 - Place: 1 Points: 704.2,Enschede 2023-11-26 - Place: 2 Points: 682.29,NK 2023-09-02 - Place: 1 Points: 597.8
Mady Smit,29,1906,Enschede 2025-06-01 - Place: 6 Points: 735.0,Amsterdam 2025-06-14 - Place: 6 Points: 655.2,EnschedeIndoor 2024-11-30 - Place: 7 Points: 516.25
