Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Steven Biemans,1,1148,NK 2024-06-29 - Place: 4 Points: 588.0,NK 2023-09-02 - Place: 3 Points: 560.0,
Jary Kooijman,2,1008,NK 2024-06-29 - Place: 4 Points: 588.0,NK 2023-09-02 - Place: 5 Points: 420.0,
Klemen Peganc,3,840,NK 2024-06-29 - Place: 1 Points: 840.0,,
Nikola Gersanov,4,840,NK 2024-06-29 - Place: 1 Points: 840.0,,
Koen Franken,5,756,NK 2024-06-29 - Place: 2 Points: 756.0,,
Luc van Iperen,6,756,NK 2024-06-29 - Place: 2 Points: 756.0,,
Quinten van Duin,7,700,NK 2023-09-02 - Place: 1 Points: 700.0,,
Niels van Weerdenburg,8,700,NK 2023-09-02 - Place: 1 Points: 700.0,,
Julian Baks,9,672,NK 2024-06-29 - Place: 3 Points: 672.0,,
Jurriën van Marle,10,672,NK 2024-06-29 - Place: 3 Points: 672.0,,
Tim de Goede,11,630,NK 2023-09-02 - Place: 2 Points: 630.0,,
Maikel Tuit,12,630,NK 2023-09-02 - Place: 2 Points: 630.0,,
Kevin Focke,13,560,NK 2023-09-02 - Place: 3 Points: 560.0,,
Rogier Edelschaap,14,504,NK 2024-06-29 - Place: 5 Points: 504.0,,
David Hielkema,15,504,NK 2024-06-29 - Place: 5 Points: 504.0,,
Daphne Lardinois,16,504,NK 2024-06-29 - Place: 6 Points: 504.0,,
Sjef Holl,17,504,NK 2024-06-29 - Place: 6 Points: 504.0,,
Ricardo Brouwer,18,490,NK 2023-09-02 - Place: 4 Points: 490.0,,
Arjen Poulie,19,490,NK 2023-09-02 - Place: 4 Points: 490.0,,
Magali de Rooy,20,420,NK 2024-06-29 - Place: 7 Points: 420.0,,
Jeroen Vriens,21,420,NK 2024-06-29 - Place: 7 Points: 420.0,,
Janna Jansma,22,420,NK 2024-06-29 - Place: 8 Points: 420.0,,
Gijs van Gerwen,23,420,NK 2024-06-29 - Place: 8 Points: 420.0,,
Rianne Voerman,24,420,NK 2023-09-02 - Place: 5 Points: 420.0,,
Fabio Groen,25,420,NK 2023-09-02 - Place: 6 Points: 420.0,,
Riccardo Minelli,26,420,NK 2023-09-02 - Place: 6 Points: 420.0,,
Rafael Nierse,27,350,NK 2023-09-02 - Place: 7 Points: 350.0,,
Hannes Holl,28,350,NK 2023-09-02 - Place: 7 Points: 350.0,,
Wim Verschuren,29,350,NK 2023-09-02 - Place: 8 Points: 350.0,,
Bo Zonneveld,30,350,NK 2023-09-02 - Place: 8 Points: 350.0,,
Lech Backhuizen,31,336,NK 2024-06-29 - Place: 9 Points: 336.0,,
Marieke Goode,32,336,NK 2024-06-29 - Place: 9 Points: 336.0,,
Jurre Buiting,33,336,NK 2024-06-29 - Place: 10 Points: 336.0,,
Stan van Bentum,34,336,NK 2024-06-29 - Place: 10 Points: 336.0,,
Joris Piree,35,336,NK 2024-06-29 - Place: 11 Points: 336.0,,
Bas Ramaekers,36,336,NK 2024-06-29 - Place: 11 Points: 336.0,,
