Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Jannah Sonnenschein,1,2227,Amsterdam 2026-01-17 - Place: 3 Points: 870.8,Enschede 2025-06-01 - Place: 2 Points: 837.9,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 518.7
Lauri Schippers,2,2227,Amsterdam 2026-01-17 - Place: 3 Points: 870.8,Enschede 2025-06-01 - Place: 2 Points: 837.9,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 518.7
Roos van der Wielen,3,2092,Amsterdam 2026-01-17 - Place: 1 Points: 1088.5,Amsterdam 2024-06-01 - Place: 1 Points: 705.6,Enschede 2023-11-26 - Place: 1 Points: 298.2
Steffen Gastineau,4,2067,Amsterdam 2026-01-17 - Place: 2 Points: 979.65,GroningenIndoor 2025-01-19 - Place: 1 Points: 721.0,NK 2024-06-29 - Place: 6 Points: 366.66
Niels van Weerdenburg,5,1955,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 864.5,Amsterdam 2024-06-01 - Place: 2 Points: 635.04,NK 2025-09-13 - Place: 8 Points: 455.0
Agnes Berveling,6,1783,Enschede 2025-06-01 - Place: 3 Points: 744.8,Amsterdam 2026-01-17 - Place: 7 Points: 544.25,Amsterdam 2024-06-01 - Place: 4 Points: 493.92
Sanne Schra,7,1750,Enschede 2025-06-01 - Place: 4 Points: 651.7,UtrechtIndoor 2025-03-15 - Place: 4 Points: 553.7,Amsterdam 2026-01-17 - Place: 7 Points: 544.25
Klemen Peganc,8,1710,UtrechtIndoor 2025-03-15 - Place: 1 Points: 791.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 778.05,Amsterdam 2024-06-01 - Place: 17 Points: 141.12
Jasper Hermsen,9,1662,Enschede 2025-06-01 - Place: 1 Points: 931.0,NK 2024-06-29 - Place: 5 Points: 366.66,NK 2025-09-13 - Place: 9 Points: 364.0
Matic Pusser,10,1569,UtrechtIndoor 2025-03-15 - Place: 1 Points: 791.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 778.05,
Suzanne Slob,11,1545,AmsterdamIndoor 2025-02-23 - Place: 4 Points: 605.15,GroningenIndoor 2025-01-19 - Place: 4 Points: 504.7,Amsterdam 2026-01-17 - Place: 9 Points: 435.4
Knut Satrang,12,1542,Amsterdam 2026-01-17 - Place: 2 Points: 979.65,Groningen 2025-05-03 - Place: 3 Points: 562.8,
Rianne Voerman,13,1440,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 864.5,NK 2025-09-13 - Place: 12 Points: 364.0,Amsterdam 2024-06-01 - Place: 14 Points: 211.68
Peter Muller,14,1298,Amsterdam 2025-06-14 - Place: 2 Points: 630.0,UtrechtIndoor 2025-03-15 - Place: 7 Points: 395.5,NK 2025-09-13 - Place: 13 Points: 273.0
Gijs Kamperman,15,1290,Amsterdam 2026-01-17 - Place: 5 Points: 653.1,NK 2025-09-13 - Place: 4 Points: 637.0,
Wouter van der Heijden,16,1290,Amsterdam 2026-01-17 - Place: 5 Points: 653.1,NK 2025-09-13 - Place: 4 Points: 637.0,
Tomas Vermeulen,17,1289,UtrechtIndoor 2025-03-15 - Place: 2 Points: 711.9,GroningenIndoor 2025-01-19 - Place: 3 Points: 576.8,
Lise Pieper,18,1182,Enschede 2025-06-01 - Place: 6 Points: 558.6,UtrechtIndoor 2025-03-15 - Place: 5 Points: 474.6,Enschede 2023-11-26 - Place: 8 Points: 149.1
Pippa Schippers,19,1150,Amsterdam 2026-01-17 - Place: 9 Points: 435.4,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 432.25,Amsterdam 2024-06-01 - Place: 11 Points: 282.24
Steven Navarro,20,1123,Groningen 2025-05-03 - Place: 3 Points: 562.8,Amsterdam 2025-06-14 - Place: 3 Points: 560.0,
Britt Engel,21,1089,Amsterdam 2026-01-17 - Place: 1 Points: 1088.5,,
Franka Etzel,22,1071,GroningenIndoor 2025-01-19 - Place: 2 Points: 648.9,Groningen 2025-05-03 - Place: 5 Points: 422.1,
Cees Bregman,23,1068,Groningen 2025-05-03 - Place: 1 Points: 703.5,NK 2025-09-13 - Place: 10 Points: 364.0,
Martijn Alberts,24,1068,Groningen 2025-05-03 - Place: 1 Points: 703.5,NK 2025-09-13 - Place: 10 Points: 364.0,
Sam Beard,25,1044,NK 2024-06-29 - Place: 2 Points: 549.99,Amsterdam 2024-06-01 - Place: 4 Points: 493.92,
Carel van Goch,26,1040,NK 2024-06-29 - Place: 3 Points: 488.88,Amsterdam 2024-06-01 - Place: 9 Points: 282.24,Enschede 2023-11-26 - Place: 2 Points: 268.38
Marta devesa Cabrera,27,1033,Enschede 2025-06-01 - Place: 6 Points: 558.6,UtrechtIndoor 2025-03-15 - Place: 5 Points: 474.6,
Mady Smit,28,1004,Amsterdam 2024-06-01 - Place: 1 Points: 705.6,Enschede 2023-11-26 - Place: 1 Points: 298.2,
Loes de Groen,29,979,GroningenIndoor 2025-01-19 - Place: 4 Points: 504.7,UtrechtIndoor 2025-03-15 - Place: 6 Points: 474.6,
Frank Buigel,30,972,NK 2025-09-13 - Place: 3 Points: 728.0,NK 2024-06-29 - Place: 12 Points: 244.44,
Quinten van Duin,31,941,Amsterdam 2024-06-01 - Place: 2 Points: 635.04,NK 2024-06-29 - Place: 8 Points: 305.55,
Shannon Dieltjes,32,931,Enschede 2025-06-01 - Place: 1 Points: 931.0,,
Jarec Schouten,33,910,NK 2025-09-13 - Place: 1 Points: 910.0,,
Bryan Broekhof,34,910,NK 2025-09-13 - Place: 1 Points: 910.0,,
Mitchell Hupkens,35,883,AmsterdamIndoor 2025-02-23 - Place: 6 Points: 518.7,NK 2025-09-13 - Place: 12 Points: 364.0,
Lars Jürgensen,36,865,Amsterdam 2026-01-17 - Place: 6 Points: 653.1,Amsterdam 2024-06-01 - Place: 13 Points: 211.68,
