Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Aleksandrs Juška,1,3970,NK 2025-09-13 - Place: 1 Points: 1438.5,NK 2024-06-29 - Place: 1 Points: 1268.4,Enschede 2025-11-30 - Place: 1 Points: 1263.5
Lauma Ernestsone,2,3809,NK 2025-09-13 - Place: 1 Points: 1438.5,NK 2024-06-29 - Place: 1 Points: 1268.4,Enschede 2025-06-01 - Place: 2 Points: 1102.5
Jeroen Brus,3,3474,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,NK 2025-09-13 - Place: 3 Points: 1150.8,NK 2024-06-29 - Place: 2 Points: 1141.56
Rudo Brus,4,3474,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,NK 2025-09-13 - Place: 3 Points: 1150.8,NK 2024-06-29 - Place: 2 Points: 1141.56
Tomer Kedar,5,3447,NK 2025-09-13 - Place: 2 Points: 1294.65,Enschede 2025-06-01 - Place: 2 Points: 1102.5,Utrecht 2025-07-20 - Place: 3 Points: 1050.0
Jarec Schouten,6,3406,Enschede 2025-11-30 - Place: 1 Points: 1263.5,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0,Utrecht 2025-07-20 - Place: 3 Points: 1050.0
Stan van Manen,7,2805,NK 2024-06-29 - Place: 3 Points: 1014.72,NK 2025-09-13 - Place: 4 Points: 1006.95,Groningen 2024-05-04 - Place: 1 Points: 783.3
Thibault Mareschal,8,2713,Amsterdam 2024-06-01 - Place: 1 Points: 1050.0,NK 2025-09-13 - Place: 4 Points: 1006.95,Utrecht 2025-07-20 - Place: 7 Points: 656.25
Sander Breman,9,2638,Enschede 2025-11-30 - Place: 3 Points: 1010.8,NK 2025-09-13 - Place: 6 Points: 863.1,Amsterdam 2025-06-14 - Place: 4 Points: 764.4
Sam Beard,10,2584,Enschede 2025-11-30 - Place: 4 Points: 884.45,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0
Simen Bootsma,11,2422,NK 2025-09-13 - Place: 5 Points: 863.1,Groningen 2025-05-03 - Place: 2 Points: 815.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4
Fabian van Hummel,12,2413,Groningen 2025-05-03 - Place: 1 Points: 906.5,Utrecht 2025-07-20 - Place: 5 Points: 787.5,NK 2025-09-13 - Place: 8 Points: 719.25
Luc Young,13,2368,Groningen 2025-05-03 - Place: 2 Points: 815.85,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4
Justus Klapperich,14,2362,Enschede 2025-06-01 - Place: 1 Points: 1225.0,Enschede 2025-11-30 - Place: 2 Points: 1137.15,
David Teel,15,2353,NK 2025-09-13 - Place: 6 Points: 863.1,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2
Tjebbe Treub,16,2341,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,Utrecht 2025-07-20 - Place: 6 Points: 787.5,GroningenIndoor 2025-01-19 - Place: 2 Points: 727.65
Bart Derks,17,2332,NK 2025-09-13 - Place: 5 Points: 863.1,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8
Florian Engelsing,18,2327,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8,EnschedeIndoor 2024-11-30 - Place: 4 Points: 722.75
Tim Teunis,19,2268,NK 2024-06-29 - Place: 4 Points: 887.88,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,Groningen 2024-02-11 - Place: 4 Points: 554.19
Ward Nieboer,20,2265,Utrecht 2025-07-20 - Place: 5 Points: 787.5,Enschede 2025-11-30 - Place: 5 Points: 758.1,NK 2025-09-13 - Place: 7 Points: 719.25
Teo Kukuljan,21,2263,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 782.46,Enschede 2023-04-22 - Place: 6 Points: 168.0
Rens Elbertsen,22,2254,NK 2024-06-29 - Place: 6 Points: 761.04,Enschede 2025-11-30 - Place: 5 Points: 758.1,Amsterdam 2024-06-01 - Place: 4 Points: 735.0
Dirk van de Riet,23,2179,NK 2024-06-29 - Place: 5 Points: 761.04,Groningen 2024-02-11 - Place: 2 Points: 712.53,Groningen 2024-05-04 - Place: 2 Points: 704.97
Simon Spengler,24,2174,Groningen 2024-05-04 - Place: 1 Points: 783.3,NK 2024-06-29 - Place: 5 Points: 761.04,Amsterdam 2024-06-01 - Place: 6 Points: 630.0
Koen Franken,25,2107,Enschede 2025-11-30 - Place: 4 Points: 884.45,GroningenIndoor 2025-01-19 - Place: 3 Points: 646.8,NK 2025-09-13 - Place: 10 Points: 575.4
Luca Marrer,26,2095,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 782.46,
Micha Daling,27,2042,Groningen 2024-02-11 - Place: 2 Points: 712.53,Groningen 2024-05-04 - Place: 2 Points: 704.97,Amsterdam 2024-01-20 - Place: 3 Points: 624.96
Jasper Toebes,28,1984,Groningen 2025-05-03 - Place: 1 Points: 906.5,NK 2025-09-13 - Place: 8 Points: 719.25,NK 2023-09-02 - Place: 6 Points: 358.68
Mady Smit,29,1906,Enschede 2025-06-01 - Place: 6 Points: 735.0,Amsterdam 2025-06-14 - Place: 6 Points: 655.2,EnschedeIndoor 2024-11-30 - Place: 7 Points: 516.25
Gabriele Brazzo,30,1884,Amsterdam 2025-06-14 - Place: 2 Points: 982.8,NK 2024-06-29 - Place: 11 Points: 507.36,Utrecht 2025-07-20 - Place: 14 Points: 393.75
Stijn Slebos,31,1844,Amsterdam 2025-06-14 - Place: 6 Points: 655.2,NK 2024-06-29 - Place: 8 Points: 634.2,Groningen 2024-02-11 - Place: 4 Points: 554.19
Lauri Schippers,32,1798,Enschede 2025-11-30 - Place: 6 Points: 758.1,Groningen 2025-05-03 - Place: 5 Points: 543.9,UtrechtIndoor 2025-03-15 - Place: 5 Points: 495.6
Daniel Peereboom,33,1773,Enschede 2025-11-30 - Place: 7 Points: 631.75,NK 2025-09-13 - Place: 9 Points: 575.4,GroningenIndoor 2025-01-19 - Place: 4 Points: 565.95
Ravi Kandula,34,1757,Amsterdam 2023-06-17 - Place: 1 Points: 704.2,NK 2023-09-02 - Place: 1 Points: 597.8,Enschede 2023-11-26 - Place: 2 Points: 454.86
Lars Bouma,35,1753,Enschede 2025-11-30 - Place: 7 Points: 631.75,NK 2025-09-13 - Place: 9 Points: 575.4,Amsterdam 2025-06-14 - Place: 7 Points: 546.0
Omar el Tambouli,36,1743,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,Utrecht 2025-07-20 - Place: 8 Points: 656.25,Enschede 2024-04-06 - Place: 13 Points: 260.82
Joep Blanksma,37,1708,NK 2024-06-29 - Place: 4 Points: 887.88,Enschede 2024-04-06 - Place: 6 Points: 521.64,NK 2023-09-02 - Place: 7 Points: 298.9
Jan Schmitz,38,1701,Enschede 2025-11-30 - Place: 8 Points: 631.75,Groningen 2025-05-03 - Place: 5 Points: 543.9,Utrecht 2025-07-20 - Place: 10 Points: 525.0
Maikel Schils,39,1679,UtrechtIndoor 2025-03-15 - Place: 4 Points: 578.2,NK 2025-09-13 - Place: 10 Points: 575.4,Utrecht 2025-07-20 - Place: 11 Points: 525.0
Yuan Tjiam,40,1662,Amsterdam 2024-06-01 - Place: 6 Points: 630.0,Utrecht 2025-07-20 - Place: 12 Points: 525.0,NK 2024-06-29 - Place: 10 Points: 507.36
Niels Kadijk,41,1630,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8,NK 2025-09-13 - Place: 12 Points: 575.4,Utrecht 2025-07-20 - Place: 15 Points: 393.75
Jari Verbeek,42,1629,Amsterdam 2024-06-01 - Place: 3 Points: 840.0,NK 2024-06-29 - Place: 11 Points: 507.36,Amsterdam 2023-06-17 - Place: 12 Points: 281.68
Nicolas Manneback,43,1608,NK 2025-09-13 - Place: 11 Points: 575.4,Utrecht 2025-07-20 - Place: 12 Points: 525.0,NK 2024-06-29 - Place: 10 Points: 507.36
Jacob Franssen,44,1576,NK 2025-09-13 - Place: 12 Points: 575.4,Enschede 2025-11-30 - Place: 12 Points: 505.4,UtrechtIndoor 2025-03-15 - Place: 6 Points: 495.6
