Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Aleksandrs Juška,1,3483,NK 2024-06-29 - Place: 1 Points: 1268.4,Enschede 2024-04-06 - Place: 1 Points: 1159.2,Groningen 2024-02-11 - Place: 1 Points: 1055.6
Rudo Brus,2,3415,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,NK 2024-06-29 - Place: 2 Points: 1141.56,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0
Jarec Schouten,3,3307,Enschede 2024-04-06 - Place: 1 Points: 1159.2,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0,Groningen 2024-02-11 - Place: 1 Points: 1055.6
Lauma Ernestsone,4,3300,NK 2024-06-29 - Place: 1 Points: 1268.4,Enschede 2025-06-01 - Place: 2 Points: 1102.5,EnschedeIndoor 2024-11-30 - Place: 2 Points: 929.25
Jeroen Brus,5,3250,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,NK 2024-06-29 - Place: 2 Points: 1141.56,Enschede 2024-04-06 - Place: 3 Points: 927.36
Tomer Kedar,6,3082,Enschede 2025-06-01 - Place: 2 Points: 1102.5,Utrecht 2025-07-20 - Place: 3 Points: 1050.0,EnschedeIndoor 2024-11-30 - Place: 2 Points: 929.25
Stan van Manen,7,2904,Groningen 2024-05-04 - Place: 1 Points: 1044.4,NK 2024-06-29 - Place: 3 Points: 1014.72,Groningen 2024-02-11 - Place: 3 Points: 844.48
Micha Daling,8,2723,Groningen 2024-02-11 - Place: 2 Points: 950.04,Groningen 2024-05-04 - Place: 2 Points: 939.96,Amsterdam 2024-01-20 - Place: 3 Points: 833.28
Dirk van de Riet,9,2723,Groningen 2024-02-11 - Place: 2 Points: 950.04,Groningen 2024-05-04 - Place: 2 Points: 939.96,Amsterdam 2024-01-20 - Place: 3 Points: 833.28
Teo Kukuljan,10,2524,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 1043.28,Enschede 2023-04-22 - Place: 6 Points: 168.0
Simon Spengler,11,2501,Groningen 2024-05-04 - Place: 1 Points: 1044.4,NK 2024-06-29 - Place: 5 Points: 761.04,Enschede 2024-04-06 - Place: 6 Points: 695.52
Tim Teunis,12,2453,NK 2024-06-29 - Place: 4 Points: 887.88,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,Groningen 2024-02-11 - Place: 4 Points: 738.92
Ward Nieboer,13,2434,Groningen 2024-05-04 - Place: 3 Points: 835.52,Enschede 2024-04-06 - Place: 4 Points: 811.44,Utrecht 2025-07-20 - Place: 5 Points: 787.5
Sam Beard,14,2430,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8
Luc Young,15,2368,Groningen 2025-05-03 - Place: 2 Points: 815.85,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4
Luca Marrer,16,2356,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 1043.28,
Tjebbe Treub,17,2341,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,Utrecht 2025-07-20 - Place: 6 Points: 787.5,GroningenIndoor 2025-01-19 - Place: 2 Points: 727.65
Thibault Mareschal,18,2331,Amsterdam 2024-06-01 - Place: 1 Points: 1050.0,Utrecht 2025-07-20 - Place: 7 Points: 656.25,Amsterdam 2024-01-20 - Place: 6 Points: 624.96
Florian Engelsing,19,2327,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8,EnschedeIndoor 2024-11-30 - Place: 4 Points: 722.75
Ravi Kandula,20,2283,NK 2023-09-02 - Place: 1 Points: 896.7,Amsterdam 2023-06-17 - Place: 1 Points: 704.2,Enschede 2023-11-26 - Place: 2 Points: 682.29
Fabian van Hummel,21,2184,Groningen 2025-05-03 - Place: 1 Points: 906.5,Utrecht 2025-07-20 - Place: 5 Points: 787.5,Enschede 2025-06-01 - Place: 11 Points: 490.0
Simen Bootsma,22,2179,Groningen 2025-05-03 - Place: 2 Points: 815.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4,EnschedeIndoor 2024-11-30 - Place: 5 Points: 619.5
Stijn Slebos,23,2166,Groningen 2024-02-11 - Place: 4 Points: 738.92,Groningen 2024-05-04 - Place: 4 Points: 731.08,Enschede 2024-04-06 - Place: 5 Points: 695.52
Rens Elbertsen,24,2129,NK 2024-06-29 - Place: 6 Points: 761.04,Amsterdam 2024-06-01 - Place: 4 Points: 735.0,Groningen 2024-02-11 - Place: 6 Points: 633.36
Bart Derks,25,2038,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8,AmsterdamIndoor 2025-02-23 - Place: 4 Points: 568.4
Joep Blanksma,26,2032,NK 2024-06-29 - Place: 4 Points: 887.88,Enschede 2024-04-06 - Place: 6 Points: 695.52,NK 2023-09-02 - Place: 7 Points: 448.35
Sander Breman,27,1985,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2,UtrechtIndoor 2025-03-15 - Place: 5 Points: 495.6
David Teel,28,1910,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2,Amsterdam 2024-06-01 - Place: 10 Points: 420.0
