Tournament Name,Date,Players,Player multiplier,Age multiplier,Multiplier
NK,2023-09-02,24,1.0,0.6,0.6
NK,2024-06-29,24,1.64,1.0,1.64
Amsterdam,2025-06-14,16,1.6,1.0,1.6
