Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Lavinia Damaschin,118,497,Groningen 2024-05-04 - Place: 8 Points: 391.65,Groningen 2024-02-11 - Place: 19 Points: 105.56,
Jannes de Meyer,119,493,Amsterdam 2023-06-17 - Place: 4 Points: 492.94,,
Tuur Demaegdt,120,493,Amsterdam 2023-06-17 - Place: 4 Points: 492.94,,
Stijn Bakker,121,491,Amsterdam 2024-06-01 - Place: 9 Points: 315.0,NK 2023-09-02 - Place: 18 Points: 119.56,Enschede 2023-04-22 - Place: 23 Points: 56.0
Yorik Maatman,122,475,Groningen 2024-02-11 - Place: 10 Points: 211.12,Amsterdam 2023-06-17 - Place: 17 Points: 140.84,Groningen 2023-05-27 - Place: 13 Points: 123.48
Ulysse Couturier,123,473,Amsterdam 2024-06-01 - Place: 5 Points: 472.5,,
Joeri Vlassaks,124,469,Amsterdam 2024-01-20 - Place: 2 Points: 468.72,,
Martijn Paes,125,469,Amsterdam 2024-01-20 - Place: 2 Points: 468.72,,
Yannick Onstenk,126,437,Groningen 2024-05-04 - Place: 10 Points: 313.32,Groningen 2023-05-27 - Place: 14 Points: 123.48,
Benedikt Meylahn,127,437,Amsterdam 2025-06-14 - Place: 11 Points: 436.8,,
Knut Satrang,128,437,Amsterdam 2025-06-14 - Place: 12 Points: 436.8,,
Pieter van der Plas,129,429,NK 2023-09-02 - Place: 9 Points: 239.12,NK 2024-06-29 - Place: 18 Points: 190.26,
Wouter van der Heijden,130,418,Utrecht 2026-02-21 - Place: 16 Points: 375.9,Enschede 2023-04-22 - Place: 31 Points: 42.0,
Albert Gracia,131,413,EnschedeIndoor 2024-11-30 - Place: 8 Points: 413.0,,
Burag Hançer,132,413,UtrechtIndoor 2025-03-15 - Place: 8 Points: 413.0,,
Han Holtmann,133,406,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 406.0,,
Patrick Costa,134,406,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 406.0,,
Milan Klaasman,135,406,AmsterdamIndoor 2025-02-23 - Place: 8 Points: 406.0,,
Adam Drong,136,402,Enschede 2025-06-01 - Place: 19 Points: 245.0,Groningen 2024-05-04 - Place: 18 Points: 156.66,
Noah Mensch,137,394,Amsterdam 2024-06-01 - Place: 8 Points: 393.75,,
Hauke Moeschke,138,392,Groningen 2024-05-04 - Place: 7 Points: 391.65,,
Ben ten Berge,139,380,NK 2023-09-02 - Place: 9 Points: 239.12,Amsterdam 2023-06-17 - Place: 24 Points: 140.84,
