Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Aleksandrs Juška,1,4090,NK 2024-06-29 - Place: 1 Points: 1585.5,Enschede 2024-04-06 - Place: 1 Points: 1449.0,Groningen 2024-02-11 - Place: 1 Points: 1055.6
Jarec Schouten,2,3774,Enschede 2024-04-06 - Place: 1 Points: 1449.0,NK 2024-06-29 - Place: 3 Points: 1268.4,Amsterdam 2023-06-17 - Place: 1 Points: 1056.3
Rudo Brus,3,3631,NK 2024-06-29 - Place: 2 Points: 1426.95,Enschede 2024-04-06 - Place: 3 Points: 1159.2,Groningen 2024-05-04 - Place: 3 Points: 1044.4
Stan van Manen,4,3588,Groningen 2024-05-04 - Place: 1 Points: 1305.5,NK 2024-06-29 - Place: 3 Points: 1268.4,Enschede 2024-04-06 - Place: 4 Points: 1014.3
Lauma Ernestsone,5,3424,NK 2024-06-29 - Place: 1 Points: 1585.5,EnschedeIndoor 2024-11-30 - Place: 2 Points: 929.25,Enschede 2023-11-26 - Place: 2 Points: 909.72
Jeroen Brus,6,3220,NK 2024-06-29 - Place: 2 Points: 1426.95,Enschede 2024-04-06 - Place: 3 Points: 1159.2,Amsterdam 2023-06-17 - Place: 6 Points: 633.78
Simon Spengler,7,3126,Groningen 2024-05-04 - Place: 1 Points: 1305.5,NK 2024-06-29 - Place: 5 Points: 951.3,Enschede 2024-04-06 - Place: 6 Points: 869.4
Dirk van de Riet,8,3076,Groningen 2024-05-04 - Place: 2 Points: 1174.95,NK 2024-06-29 - Place: 5 Points: 951.3,Groningen 2024-02-11 - Place: 2 Points: 950.04
Micha Daling,9,2958,Groningen 2024-05-04 - Place: 2 Points: 1174.95,Groningen 2024-02-11 - Place: 2 Points: 950.04,Amsterdam 2024-01-20 - Place: 3 Points: 833.28
Tim Teunis,10,2893,NK 2024-06-29 - Place: 4 Points: 1109.85,Groningen 2024-05-04 - Place: 4 Points: 913.85,Enschede 2024-04-06 - Place: 5 Points: 869.4
Ravi Kandula,11,2863,Amsterdam 2023-06-17 - Place: 1 Points: 1056.3,Enschede 2023-11-26 - Place: 2 Points: 909.72,NK 2023-09-02 - Place: 1 Points: 896.7
Ward Nieboer,12,2851,Groningen 2024-05-04 - Place: 3 Points: 1044.4,Enschede 2024-04-06 - Place: 4 Points: 1014.3,NK 2024-06-29 - Place: 8 Points: 792.75
Tomer Kedar,13,2799,NK 2024-06-29 - Place: 6 Points: 951.3,EnschedeIndoor 2024-11-30 - Place: 2 Points: 929.25,Amsterdam 2024-06-01 - Place: 4 Points: 918.75
Rens Elbertsen,14,2653,NK 2024-06-29 - Place: 6 Points: 951.3,Amsterdam 2024-06-01 - Place: 4 Points: 918.75,Groningen 2024-05-04 - Place: 5 Points: 783.3
Stijn Slebos,15,2576,Groningen 2024-05-04 - Place: 4 Points: 913.85,Enschede 2024-04-06 - Place: 5 Points: 869.4,NK 2024-06-29 - Place: 8 Points: 792.75
Joep Blanksma,16,2428,NK 2024-06-29 - Place: 4 Points: 1109.85,Enschede 2024-04-06 - Place: 6 Points: 869.4,NK 2023-09-02 - Place: 7 Points: 448.35
Thibault Mareschal,17,2360,Amsterdam 2024-06-01 - Place: 1 Points: 1312.5,Amsterdam 2024-01-20 - Place: 6 Points: 624.96,Amsterdam 2023-06-17 - Place: 9 Points: 422.52
Sam Beard,18,2284,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8,GroningenIndoor 2025-01-19 - Place: 2 Points: 727.65
Tjebbe Treub,19,2188,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,GroningenIndoor 2025-01-19 - Place: 2 Points: 727.65,NK 2024-06-29 - Place: 12 Points: 634.2
Luc Young,20,2171,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4,EnschedeIndoor 2024-11-30 - Place: 5 Points: 619.5
Florian Engelsing,21,2110,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8,EnschedeIndoor 2024-11-30 - Place: 4 Points: 722.75,Amsterdam 2024-06-01 - Place: 8 Points: 656.25
Jari Verbeek,22,2107,Amsterdam 2024-06-01 - Place: 3 Points: 1050.0,NK 2024-06-29 - Place: 11 Points: 634.2,Amsterdam 2023-06-17 - Place: 12 Points: 422.52
Mark de Jong,23,2081,NK 2023-09-02 - Place: 1 Points: 896.7,Amsterdam 2024-06-01 - Place: 7 Points: 656.25,Amsterdam 2023-06-17 - Place: 7 Points: 528.15
