Tournament Name,Date,Players,Tournament strength multiplier,Ranked player multiplier increase,Unranked player multiplier increase,Age multiplier,Multiplier
NK,2023-09-02,24,1.9,0.0,0.9,0.6,1.14
NK,2024-06-29,24,2.15,0.64,0.51,1.0,2.15
Amsterdam,2025-06-14,16,1.88,0.6,0.28,1.0,1.88
