Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Niels van Weerdenburg,1,2830,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 1183.0,Amsterdam 2024-06-01 - Place: 2 Points: 1038.24,NK 2024-06-29 - Place: 8 Points: 609.0
Agnes Berveling,2,2522,Enschede 2025-06-01 - Place: 3 Points: 994.0,Amsterdam 2024-06-01 - Place: 4 Points: 807.52,Enschede 2023-11-26 - Place: 2 Points: 720.09
Jannah Sonnenschein,3,2520,Enschede 2025-06-01 - Place: 2 Points: 1118.25,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 709.8,Amsterdam 2024-06-01 - Place: 6 Points: 692.16
Lauri Schippers,4,2520,Enschede 2025-06-01 - Place: 2 Points: 1118.25,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 709.8,Amsterdam 2024-06-01 - Place: 6 Points: 692.16
Klemen Peganc,5,2422,UtrechtIndoor 2025-03-15 - Place: 1 Points: 1127.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 1064.7,Amsterdam 2024-06-01 - Place: 17 Points: 230.72
Sanne Schra,6,2250,Enschede 2025-06-01 - Place: 4 Points: 869.75,UtrechtIndoor 2025-03-15 - Place: 4 Points: 788.9,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 591.5
Matic Pusser,7,2192,UtrechtIndoor 2025-03-15 - Place: 1 Points: 1127.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 1064.7,
Carel van Goch,8,2156,NK 2024-06-29 - Place: 3 Points: 974.4,Enschede 2023-11-26 - Place: 2 Points: 720.09,Amsterdam 2024-06-01 - Place: 9 Points: 461.44
Jasper Hermsen,9,1973,Enschede 2025-06-01 - Place: 1 Points: 1242.5,NK 2024-06-29 - Place: 5 Points: 730.8,
Mady Smit,10,1954,Amsterdam 2024-06-01 - Place: 1 Points: 1153.6,Enschede 2023-11-26 - Place: 1 Points: 800.1,
Roos van der Wielen,11,1954,Amsterdam 2024-06-01 - Place: 1 Points: 1153.6,Enschede 2023-11-26 - Place: 1 Points: 800.1,
Sam Beard,12,1904,NK 2024-06-29 - Place: 2 Points: 1096.2,Amsterdam 2024-06-01 - Place: 4 Points: 807.52,
Tomas Vermeulen,13,1891,UtrechtIndoor 2025-03-15 - Place: 2 Points: 1014.3,GroningenIndoor 2025-01-19 - Place: 3 Points: 876.4,
Lars Bouma,14,1858,NK 2024-06-29 - Place: 1 Points: 1218.0,Enschede 2023-11-26 - Place: 3 Points: 640.08,
Steffen Gastineau,15,1826,GroningenIndoor 2025-01-19 - Place: 1 Points: 1095.5,NK 2024-06-29 - Place: 6 Points: 730.8,
Lise Pieper,16,1822,Enschede 2025-06-01 - Place: 6 Points: 745.5,UtrechtIndoor 2025-03-15 - Place: 5 Points: 676.2,Enschede 2023-11-26 - Place: 8 Points: 400.05
Steven Navarro,17,1781,Groningen 2025-05-03 - Place: 3 Points: 1050.0,Amsterdam 2025-06-14 - Place: 3 Points: 730.8,
Franka Etzel,18,1773,GroningenIndoor 2025-01-19 - Place: 2 Points: 985.95,Groningen 2025-05-03 - Place: 5 Points: 787.5,
Quinten van Duin,19,1647,Amsterdam 2024-06-01 - Place: 2 Points: 1038.24,NK 2024-06-29 - Place: 8 Points: 609.0,
Suzanne Slob,20,1595,AmsterdamIndoor 2025-02-23 - Place: 4 Points: 828.1,GroningenIndoor 2025-01-19 - Place: 4 Points: 766.85,
Rianne Voerman,21,1529,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 1183.0,Amsterdam 2024-06-01 - Place: 14 Points: 346.08,
Loes de Groen,22,1443,GroningenIndoor 2025-01-19 - Place: 4 Points: 766.85,UtrechtIndoor 2025-03-15 - Place: 6 Points: 676.2,
Maikel Schils,23,1436,NK 2024-06-29 - Place: 3 Points: 974.4,Amsterdam 2024-06-01 - Place: 9 Points: 461.44,
Marta devesa Cabrera,24,1422,Enschede 2025-06-01 - Place: 6 Points: 745.5,UtrechtIndoor 2025-03-15 - Place: 5 Points: 676.2,
Tom Ottenheim,25,1403,Amsterdam 2024-06-01 - Place: 3 Points: 922.88,Enschede 2023-11-26 - Place: 6 Points: 480.06,
Bart Derks,26,1403,Amsterdam 2024-06-01 - Place: 3 Points: 922.88,Enschede 2023-11-26 - Place: 6 Points: 480.06,
Peter Muller,27,1386,Amsterdam 2025-06-14 - Place: 2 Points: 822.15,UtrechtIndoor 2025-03-15 - Place: 7 Points: 563.5,
Konradin Müskens,28,1333,NK 2024-06-29 - Place: 4 Points: 852.6,Enschede 2023-11-26 - Place: 5 Points: 480.06,
Cees Bregman,29,1312,Groningen 2025-05-03 - Place: 1 Points: 1312.5,,
Martijn Alberts,30,1312,Groningen 2025-05-03 - Place: 1 Points: 1312.5,,
