Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Lauri Schippers,1,2778,Amsterdam 2025-06-14 - Place: 1 Points: 1316.0,NK 2024-06-29 - Place: 5 Points: 903.0,NK 2023-09-02 - Place: 4 Points: 558.6
Agnes Berveling,2,2505,NK 2024-06-29 - Place: 4 Points: 1053.5,Amsterdam 2025-06-14 - Place: 3 Points: 1052.8,NK 2023-09-02 - Place: 7 Points: 399.0
Jannah Sonnenschein,3,2219,Amsterdam 2025-06-14 - Place: 1 Points: 1316.0,NK 2024-06-29 - Place: 5 Points: 903.0,
Sanne Schra,4,2087,Amsterdam 2025-06-14 - Place: 2 Points: 1184.4,NK 2024-06-29 - Place: 6 Points: 903.0,
Lise Pieper,5,2073,Amsterdam 2025-06-14 - Place: 4 Points: 921.2,NK 2024-06-29 - Place: 7 Points: 752.5,NK 2023-09-02 - Place: 7 Points: 399.0
Roos van der Wielen,6,1913,NK 2024-06-29 - Place: 2 Points: 1354.5,NK 2023-09-02 - Place: 4 Points: 558.6,
Ilonka Thielen,7,1842,NK 2024-06-29 - Place: 3 Points: 1204.0,NK 2023-09-02 - Place: 3 Points: 638.4,
Roos van der Donk,8,1842,NK 2024-06-29 - Place: 3 Points: 1204.0,NK 2023-09-02 - Place: 3 Points: 638.4,
Pippa Schippers,9,1693,NK 2024-06-29 - Place: 6 Points: 903.0,Amsterdam 2025-06-14 - Place: 5 Points: 789.6,
Marta devesa Cabrera,10,1674,Amsterdam 2025-06-14 - Place: 4 Points: 921.2,NK 2024-06-29 - Place: 7 Points: 752.5,
Annabel Beiner,11,1532,Amsterdam 2025-06-14 - Place: 3 Points: 1052.8,NK 2023-09-02 - Place: 5 Points: 478.8,
Shauny Dieltjes,12,1505,NK 2024-06-29 - Place: 1 Points: 1505.0,,
Shannon Dieltjes,13,1505,NK 2024-06-29 - Place: 1 Points: 1505.0,,
Laura Verstraete,14,1392,Amsterdam 2025-06-14 - Place: 6 Points: 789.6,NK 2024-06-29 - Place: 10 Points: 602.0,
Mady Smit,15,1355,NK 2024-06-29 - Place: 2 Points: 1354.5,,
Alexandra Pelz,16,1184,Amsterdam 2025-06-14 - Place: 2 Points: 1184.4,,
Suzanne Slob,17,1054,NK 2024-06-29 - Place: 4 Points: 1053.5,,
Michelle Sudjito,18,921,NK 2024-06-29 - Place: 11 Points: 602.0,NK 2023-09-02 - Place: 10 Points: 319.2,
Britt Engel,19,921,NK 2024-06-29 - Place: 11 Points: 602.0,NK 2023-09-02 - Place: 10 Points: 319.2,
Eline Meijer,20,798,NK 2023-09-02 - Place: 1 Points: 798.0,,
Sophie Bouma,21,798,NK 2023-09-02 - Place: 1 Points: 798.0,,
Jesse Weggemans,22,790,Amsterdam 2025-06-14 - Place: 5 Points: 789.6,,
Anna Junk,23,790,Amsterdam 2025-06-14 - Place: 6 Points: 789.6,,
Dana Voerman,24,753,NK 2024-06-29 - Place: 8 Points: 752.5,,
Rianne Voerman,25,753,NK 2024-06-29 - Place: 8 Points: 752.5,,
Tessel van Manen,26,718,NK 2023-09-02 - Place: 2 Points: 718.2,,
Lauma Ernestsone,27,718,NK 2023-09-02 - Place: 2 Points: 718.2,,
Charlotte glastra van Loon,28,658,Amsterdam 2025-06-14 - Place: 7 Points: 658.0,,
Melanie Haeusel,29,658,Amsterdam 2025-06-14 - Place: 7 Points: 658.0,,
Tale Lechtenbörger,30,658,Amsterdam 2025-06-14 - Place: 8 Points: 658.0,,
Sanne Hogesteeger,31,658,Amsterdam 2025-06-14 - Place: 8 Points: 658.0,,
Maud Wieland,32,602,NK 2024-06-29 - Place: 9 Points: 602.0,,
Lisa Theijsmeijer,33,602,NK 2024-06-29 - Place: 9 Points: 602.0,,
Nici Friedman,34,602,NK 2024-06-29 - Place: 10 Points: 602.0,,
Clemence Joly,35,602,NK 2024-06-29 - Place: 12 Points: 602.0,,
Maud Loiseau,36,602,NK 2024-06-29 - Place: 12 Points: 602.0,,
Jessica Borgers,37,479,NK 2023-09-02 - Place: 5 Points: 478.8,,
Merel Buijs,38,479,NK 2023-09-02 - Place: 6 Points: 478.8,,
Sophia Walser,39,479,NK 2023-09-02 - Place: 6 Points: 478.8,,
Annelies van Cooten,40,399,NK 2023-09-02 - Place: 8 Points: 399.0,,
Anna Strijker,41,399,NK 2023-09-02 - Place: 8 Points: 399.0,,
Merel Peletier,42,319,NK 2023-09-02 - Place: 9 Points: 319.2,,
Juliëtte Peletier,43,319,NK 2023-09-02 - Place: 9 Points: 319.2,,
Anneke Poelen,44,319,NK 2023-09-02 - Place: 11 Points: 319.2,,
Dorette Kouwenhoven,45,319,NK 2023-09-02 - Place: 11 Points: 319.2,,
Emma Boom,46,319,NK 2023-09-02 - Place: 12 Points: 319.2,,
Roos Denisse,47,319,NK 2023-09-02 - Place: 12 Points: 319.2,,
