Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Aleksandrs Juška,1,3989,NK 2024-06-29 - Place: 1 Points: 1533.0,Amsterdam 2024-01-20 - Place: 1 Points: 1248.8,Enschede 2024-04-06 - Place: 1 Points: 1206.8
Lauma Ernestsone,2,3757,NK 2024-06-29 - Place: 1 Points: 1533.0,Enschede 2025-06-01 - Place: 2 Points: 1285.2,EnschedeIndoor 2024-11-30 - Place: 2 Points: 938.7
Rudo Brus,3,3719,NK 2024-06-29 - Place: 2 Points: 1379.7,Amsterdam 2025-06-14 - Place: 1 Points: 1197.0,Enschede 2025-06-01 - Place: 3 Points: 1142.4
Jarec Schouten,4,3704,Amsterdam 2024-01-20 - Place: 1 Points: 1248.8,Amsterdam 2023-06-17 - Place: 1 Points: 1228.5,NK 2024-06-29 - Place: 3 Points: 1226.4
Tomer Kedar,5,3291,Enschede 2025-06-01 - Place: 2 Points: 1285.2,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 1067.5,EnschedeIndoor 2024-11-30 - Place: 2 Points: 938.7
Stan van Manen,6,3102,NK 2024-06-29 - Place: 3 Points: 1226.4,Groningen 2024-05-04 - Place: 1 Points: 1002.4,Groningen 2024-02-11 - Place: 3 Points: 873.6
Jeroen Brus,7,3082,NK 2024-06-29 - Place: 2 Points: 1379.7,Enschede 2024-04-06 - Place: 3 Points: 965.44,Amsterdam 2023-06-17 - Place: 6 Points: 737.1
Dirk van de Riet,8,2902,Amsterdam 2024-01-20 - Place: 3 Points: 999.04,Groningen 2024-02-11 - Place: 2 Points: 982.8,NK 2024-06-29 - Place: 5 Points: 919.8
Micha Daling,9,2884,Amsterdam 2024-01-20 - Place: 3 Points: 999.04,Groningen 2024-02-11 - Place: 2 Points: 982.8,Groningen 2024-05-04 - Place: 2 Points: 902.16
Ravi Kandula,10,2874,Amsterdam 2023-06-17 - Place: 1 Points: 1228.5,NK 2023-09-02 - Place: 1 Points: 936.6,Enschede 2023-11-26 - Place: 2 Points: 708.75
Sam Beard,11,2828,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 960.75,Amsterdam 2025-06-14 - Place: 3 Points: 957.6,UtrechtIndoor 2025-03-15 - Place: 1 Points: 910.0
Simon Spengler,12,2717,Groningen 2024-05-04 - Place: 1 Points: 1002.4,NK 2024-06-29 - Place: 5 Points: 919.8,Amsterdam 2024-06-01 - Place: 6 Points: 794.64
Tim Teunis,13,2672,NK 2024-06-29 - Place: 4 Points: 1073.1,EnschedeIndoor 2024-11-30 - Place: 3 Points: 834.4,Groningen 2024-02-11 - Place: 4 Points: 764.4
Florian Engelsing,14,2648,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 960.75,Amsterdam 2025-06-14 - Place: 3 Points: 957.6,EnschedeIndoor 2024-11-30 - Place: 4 Points: 730.1
Thibault Mareschal,15,2565,Amsterdam 2024-06-01 - Place: 1 Points: 1324.4,Amsterdam 2024-01-20 - Place: 6 Points: 749.28,Amsterdam 2023-06-17 - Place: 9 Points: 491.4
Rens Elbertsen,16,2502,Amsterdam 2024-06-01 - Place: 4 Points: 927.08,NK 2024-06-29 - Place: 6 Points: 919.8,Groningen 2024-02-11 - Place: 6 Points: 655.2
Luc Young,17,2468,Groningen 2025-05-03 - Place: 2 Points: 878.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 819.0,GroningenIndoor 2025-01-19 - Place: 1 Points: 770.0
Ward Nieboer,18,2413,Enschede 2024-04-06 - Place: 4 Points: 844.76,Groningen 2024-05-04 - Place: 3 Points: 801.92,NK 2024-06-29 - Place: 8 Points: 766.5
Simen Bootsma,19,2412,Groningen 2025-05-03 - Place: 2 Points: 878.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 819.0,Enschede 2025-06-01 - Place: 7 Points: 714.0
Joep Blanksma,20,2289,NK 2024-06-29 - Place: 4 Points: 1073.1,Enschede 2024-04-06 - Place: 6 Points: 724.08,Amsterdam 2023-06-17 - Place: 11 Points: 491.4
Sander Breman,21,2260,Amsterdam 2025-06-14 - Place: 4 Points: 837.9,Groningen 2025-05-03 - Place: 3 Points: 781.2,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 640.5
Stijn Slebos,22,2255,NK 2024-06-29 - Place: 8 Points: 766.5,Groningen 2024-02-11 - Place: 4 Points: 764.4,Enschede 2024-04-06 - Place: 5 Points: 724.08
Bart Derks,23,2245,GroningenIndoor 2025-01-19 - Place: 1 Points: 770.0,AmsterdamIndoor 2025-02-23 - Place: 4 Points: 747.25,UtrechtIndoor 2025-03-15 - Place: 3 Points: 728.0
Mark de Jong,24,2213,NK 2023-09-02 - Place: 1 Points: 936.6,Amsterdam 2024-06-01 - Place: 7 Points: 662.2,Amsterdam 2023-06-17 - Place: 7 Points: 614.25
Tjebbe Treub,25,2211,EnschedeIndoor 2024-11-30 - Place: 3 Points: 834.4,GroningenIndoor 2025-01-19 - Place: 2 Points: 693.0,Groningen 2025-05-03 - Place: 4 Points: 683.55
Gabriele Brazzo,26,2182,Amsterdam 2025-06-14 - Place: 2 Points: 1077.3,NK 2024-06-29 - Place: 11 Points: 613.2,Amsterdam 2023-06-17 - Place: 12 Points: 491.4
Jari Verbeek,27,2164,Amsterdam 2024-06-01 - Place: 3 Points: 1059.52,NK 2024-06-29 - Place: 11 Points: 613.2,Amsterdam 2023-06-17 - Place: 12 Points: 491.4
David Teel,28,2149,Amsterdam 2025-06-14 - Place: 4 Points: 837.9,Groningen 2025-05-03 - Place: 3 Points: 781.2,Amsterdam 2024-06-01 - Place: 10 Points: 529.76
Mady Smit,29,2096,Enschede 2025-06-01 - Place: 6 Points: 856.8,Amsterdam 2025-06-14 - Place: 6 Points: 718.2,EnschedeIndoor 2024-11-30 - Place: 7 Points: 521.5
Yuan Tjiam,30,2063,Amsterdam 2024-06-01 - Place: 6 Points: 794.64,Groningen 2024-02-11 - Place: 5 Points: 655.2,NK 2024-06-29 - Place: 10 Points: 613.2
Jasper Toebes,31,2038,Groningen 2025-05-03 - Place: 1 Points: 976.5,NK 2023-09-02 - Place: 6 Points: 561.96,Amsterdam 2024-01-20 - Place: 10 Points: 499.52
