Tournament Name,Date,Players,Tournament strength multiplier,Ranked player multiplier increase,Unranked player multiplier increase,Age multiplier,Multiplier
NK,2023-09-02,16,1.9,0.0,0.9,1.0,1.9
NK,2024-06-29,22,2.04,0.2,0.84,1.0,2.04
